Indonesia,Madura
"bea, pajak.",biya
cacing keremi.,biyar
memukul dengan pukulan yang keras.,biyar
biasa,biyasa
membiasakan.,abiyasa'agi
berduyun dalam kelompok-kelompok.,biyuk
"bloknot, buku nota.",bloknot
benang,bola I
benang jahit .,bola jai'
bilyar,bola II
main bilyar .,maen bola
lemper goreng yang dibuat bulat-bulat .,bolot
bolpen.,bolpen
bon,bon
"mengebon, membeli dengan pembayaran bertangguh.",ngebbon
"bor, jara, gurdi",bor
"mengebor, menggurdi.",ngebbor
brendi .,brendhi
sepeda kumbang,bromfit
naik sepeda kumbang.,abromfidan
ibu   .,bu'
"bubu, lukah.",bubu
"tukak, bisul di telapak kaki.",bubul
bubungan atap.,bubung
bunting  .,bubut I
"membubut, melicinkan kayu, melarik",bubut II
pembubut,bubudan
tukang bubut .,tokang bubut
buka,buccat
terbuka,abuccat
membuka .,muccat
busuk .,bucco'
buta.,bucek
puntung rokok.,buceng
"sudut, pertemuan bidang dengan bidang",buco
bersudut.,abuco
bocor.,bucor
buda .,budda
"kena kurap, kena labur.",buddhak
tidak jadi karena rusak.,buddhu
keranjang,budhak
berkeranjang-keranjang.,abudhagan
"budek tak bernama, anonim",budhek
menyurat tanpa nama terang,abudhek
kera hitam.,budheng
belakang,budhi
yang terakhir sekali,dhi-budhi
"akhirnya, pada akhirnya",dhi-budhina
"lebih di belakang, lebih terlambat",abudhiyan
"menjadi di belakang, terlambat",ngabudhi
"membelakangi, menyikut dari belakang",ngabudhi'i
mengebengkangkan,mangabudhi
"serambi belakang, bagian belakang",budhiyan
bodoh,budhu
membodohkan.,mabudhu
anak,budhu'
beranak,abudhu'
membungakan uang,mabudhu' pesse
anak saya,budhu' kaula
lintah darat .,tokang budhu'
lepra.,budhuk
nasi uduk .,budu'
bisul.,budun
"gagah, megah, mentereng, tampan.",buga
simpul,bugel
"bersimpul, tersimpul",abugel
"menyimpul, membuat simpul, membuat ikatan antara tali dengan tali.",mugel
"degan, kelapa muda.",buggan
garam,buja
menggarami,abujai
"menggarami laut, berbuat sesuatu tanpa guna",abujai tase'
garam dan lombok  .,buja cabbi
pujangga.,bujangga
bubar,bujar
menjadi bubar,abujar
"bubaran, waktu bubar.",bujaran
tumbuk,bujek
menumbuk .,mujek
jatuh seperti tertumbuk.,tabujek
"puser, tali pusat",bujel
kuda kerdil,jaran bujel
putus/tanggal pusar,colpak bujel
putus/tanggal pusar  .,copplak bujel
kuburan keramat.,buju'
"wujud, ujud",bujud
mewujudkan,abujuddagi
mewujudkan.,mujuddagi
berbuka puasa.,buka
gebuk,bukbuk
menggebuk,mukbuk
alat penggebuk .,bukbugan
tua .,buket
karangan bunga.,buket
buka,bukka
mengizinkan masuk setelah bersoal jawab dalam tembang menembang atau pantun memantun,mokka' balabar
membuka,mokka'
terbuka.,abukka
"ternganga, terbongkah",bukkak
"kuntianak, sundal bolong .",li'-bali' bukkak
buka,bukkal
membuka .,mukkal
pendek-pendek gemuk .,bukkel
buah-buahan sb duku dan biasanya berulat di dalamnya,bukkol
memilih-milih sesuatu yang akhirnya kena kepada yang berulat  .,le-pele bukkol
buku .,buko I
daging yang sudah mengeras yang tumbuh di bagian kulit.,buko II
kerudung,buko'
berkerudung,abuko'
"berkerudung, sedang berkerudung.",ako'-buko'
bukti,bukte
berbukti,abukte
membuktikan.,abukteyagi
"buku, kitab",buku
saya  .,bula
bundar mencorong .,bulak
"bulan, candra",bulan I
gerhana bulan .,bulan gara'a
bulan dikalang,bulan kabengan
terang bulan.,tera' bulan
bulan,bulan II
menyelamati pada waktu genap sebulan,abulane
"datang bulan, haid",dhateng bulan
bulan zulkaidah .,bulan takepe'
buta sebagian.,bular
gong kecil.,bulbul
albino .,bule
"bulir, tangkai bunga .",bulir
"colet, colek",bulit
"mencolet, mencolek .",abulit
"kena api, letup.",bulla'
bulu,bulu
berbulu,abulu
bulu mata,bulu keja'
bulu roma/kuduk,buluna kole'
berdiri bulu kuduk/roma.,manjeng buluna kole'
jatuh bergulung-gulung/berguling-guling.,bulun
"agar-agar laut, bunga batu.",bulung
"warna semacam yang merata, polos.",bulus
pulut .,bulut
bumbung.,bumbung
bumi,bume
"mengebumikan, menguburkan",ngabumeyagi
buncis .,bunces
bungkus,bundu'
bungkusan,du'-bundu'
berbungkus,abundu'
membungkus.,mundu'
"gembira, senang",bunga
memberikan kesenangan .,mabunga
bumbung,bungbung
bumbung.,berungbung
"dungu, bodoh, terbelakang .",bunggan
batang pohon,bungka
pohon-pohonan,ka'-bungka'an
bongkah-bongkah tanah.,bungkalat
bongkar,bungkar
membongkar,abungkar
"membongkar, menjadikan bongkar.",mabungkarragi
pangkal .,bungkel
bungkam.,bungkem
bungkuk,bungko'
membungkukkan diri,mabungko'
pura-pura bungkuk.,ko'-mabungko'
"bulat, bundar",bungkol
membulatkan,mabungkol
ikat pinggang panjang,bungkong
"mengenakan ""bungkong"".",abungkong
bungkus,bungkos
bungkusan,kos-bungkos
berbungkus,abungkos
membungkus.,mungkos
ungu.,bungo
lebih,bunjul
berlebih,abunjul
melebihkan.,mabunjul
pendek-pendek gemuk .,bunnek
bungsu,bungso
"mengikuti dari belakang, mengekor .",bunte'
kelenjar yang membesar di kepala bagian belakang.,buntek I
pendek memepat.,buntek II
"bungkus , kusut",buntel
"berkusut , berbungkus",abuntel
"membungkus , mengusutkan .",muntel
tidak  .,bunten
"bundar, bulat",bunter
"membulatkan, membundarkan",mabunter
"ekor, buntut",bunto'
"berekor, berbuntut",abunto'
"mengikuti selalu, tak mau ditinggalkan, mengekor .",noro' bunto'
buntu,buntu
"membuntu, berbuntu",abuntu
membuntukan.,mabuntu
pohon nipa.,bunyok
bupati,bupate
kabupaten.,kabupaten
bisul-bisul di kepala.,burca'
pecah,burdhu'
memecahkan .,maburdhu'
"buram, tidak terlihat terang.",bureng
pantat.,buri'
berdiri dan berjalan di atas kasur atau balai-balai.,burjak
pengemis.,burmaen
burak .,burrak
jagung kukus yang dimakan dengan parutan kelapa.,burse
"bocor, berlubang .",burto'
lari,buru
melarikan,maburu
pelarian.,paburuwan
baru saja.,buru I
baru sekarang saja,buru II
terburu-buru,kaburu
terburu-buru benar.,ru-kaburu
berburu,buru III
pemburu .,tokang buru
"bergantung kepada, terserah kepada.",buru'
rusak,buru' I
cakap yang tak dapat dipercayakan .,calo' buru'
"anak buah dalam buah kelapa, kentos  .",buru' II
siput .,buru' III
"buruh, pekerja.",buruh
onggok,burujun
beronggok-onggok.,aburujunan
longsor .,buruk I
tak jadi,buruk II
telur yang tidak jadi dan berbau busuk.,tellor samburugan
didik,buruk
mendidik,aburuk
didikan.,burugan
"penyamun, buronan",burun I
"menyamun, merampok.",aburun
"tak jadi, urung, batal",burung
"tentu, tak boleh tidak .",ta' burung
borong,burung I
memborong,aburung
borongan.,burungan
terserah.,burung II
anjing.,burus
karet busa .,busa
"baju, pakaian  .",busana
bosan,busen
membosankan.,abusene
busi .,busi
"tepat ukurannya sehingga dapat masuk, pas.",buso'
busuk .,busso'
raksasa.,buta
buta,buta
membutakan,mabuta
lalat buta,lala' buta
surat kaleng .,sorat buta
cabut,butbut
mencabuti .,abutbut
remah,buter
beremah-remah .,abuteran
botak,buthak
membotakkan.,mabuthak
hitam-hitam keruh.,buthek
rabuk,buthok
"memberi rabuk, merabuk.",abuthok
utuh,buto
mengutuhkan.,mabuto
butuh,buto
membutuhkan,abutowe
membutuhkan,abutowagi
kebutuhan.,kabutowan
botol.,butol I
lubang tembus .,butol II
"terselak, tersendat .",buttol
buntung,buttong
membuntungi.,mabuttong
dedak.,bu'u'
buah,buwa
berbuah,abuwa
buah-buahan.,wa'-buwa'an
muat,buwa'
memuat,muwa'
muatan.,buwa'an
buang,buwang
membuang,muwang
orang yang dibuang ke luar daerah asalnya,buwangan
terbuang.,tabuwang
laga,buwang
"berlaga, berkelahi .",abuwang
bulat dan melotot .,buwar
"kuat dan tenteram dalam kehidupan, hemat dalam kehidupan.",buwat
bisu,buwi I
membisu,mabuwi
berpura-pura bisu.,wi-mabuwi
penjara .,buwi II
kata  .,ca'
lombok,cabbi
"cebur, masuk ke dalam air",cabbur
menceburkan diri,acabbur
"mencebur, memasukkan ke dalam lubang.",nyabbur
kunjung,cabis
"mengunjungi , menghadap.",nyabis
memasukkan tangan ke dalam air yang bersih.,cabuk
cebol,cabul
pisang cebol .,geddhang cabul
cabut,cabut
bercabut,acabut
mencabut.,nyabut
bercakap-cakap,caca
jadi buah mulut .,daddi caca
coba,cacak
mencoba.,nyacak
berbicara tanpa sadar diri .,cacam
cacar,cacar
bercacar,acacar
mencacar.,nyacar
"cacat, cela",cacat
bercacat,acacat
mencela.,nyacat
cecah,cacca
"mencecah, mengiris kecil-kecil/tipis-tipis.",nyacca
gantungan yang terlekat di sarung keris.,cacelleng
cacing,caceng
cacing pita .,caceng pita
cadang,cadhang
bersiap untuk menerima/menangkap sesuatu,nyadhange
cadangan.,cadhangan
memasukkan tangan ke dalam makanan .,cadhuk
cahaya,cahya
bercahaya.,acahya
"bertengkar, berselisih.",caka
ikan tongkol.,cakalan
ringan tangan.,cakang
cakar,cakar
bercakar,acakar
mencakar.,nyakar
"cakap, suka bekerja.",cakep
"cela, cacat, ciri",cala
"bercela, bercacat",acala
mencacatkan.,macala
celaka,calaka'
mencelakakan.,macalaka'
celana,calana
celana jengki,calana jengki
bengkok .,calannok
gores,calaret
tergores.,tacalaret
"terletak terserak-serak, tak terurus",calathak
terletak tak terurus.,nyalathak
pecah-pecah,calcal
berpecah-pecah,acalcalan
menjadikan pecah-pecah .,macalcal
"cela, cacat",cale
mencela,nyale
"pencela, suka mencela.",panyale
tersedat,caleggen
menyendatkan .,macaleggen
lemas terlingkar.,calekker
panjang tangan.,calemmer
gelap,calemot
gelap gulita.,petteng calemodan
telan cepat-cepat,calma'
menelan cepat-cepat.,nyalma'
kotor sama sekali.,calmot
kapak berkepala .,calo'
calon.,calon
putus,caltong
memutuskan pada ekor.,macaltong
cemara .,camara
camat.,camat
kecambah.,camba
sama harganya/nilainya .,camba
menjewer .,cambibing
blobor  .,cambrak
tak kenal karena hampir serupa,cambur
memasuki suatu kelompok dengan pura-pura menjadi anggotanya.,bur-nyambur
cibir,cammeme'
mencibir,acammeme'
mencibir-cibir.,me'-cammeme'an
cempaka .,campaka
belalak,campella'
membelalakkan mata.,nyampella'
"tak serasi, camplang.",camplang
sb pohon mahoni.,camplong
taut,campo
bertaut,acampo
menautkan.,nyampo
sindir,campole
menyindir.,nyampoleyagi
campur,campor
bercampur,acampor
mencampur,nyampor
campuran.,camporan
"tambat, cangcang",cangcang
"menambatkan, mengikat kaki dan tangan",nyangcang
"tangkap, candak",candhak
"menangkap , menyandak.",nyandhak
cendana .,candhana
jendela,candhela
berjendela.,acandhela
candi.,candhi
membersihkan darah dengan tanduk yang dilekatkan di leher bagian belakang.,candhuk
candu,candu
mencandu .,nyandu
bangau.,cangak
"tiang penunjang, penyangga",cangga
alat penyangga .,panyangga
"dengki, bengis.",canggi
cabang,cangka
bercabang .,acangka
cengkeram,cangkarem
mencengkeram.,nyangkarem
nasi yang dikeringkan.,cangkaro'
kait,cangke' I
kaitan,ke'-cangke'
berkait,acangke'
mengait,nyangke'
"menyangkutkan, mengaitkan.",nyangke'agi
agak panjang .,cangke' II
tempurung kecil .,cangkele'
dagu,cangkem
berdagu,acangkem
bertopang dagu .,atapa cangkem
cangking,cangkeng
"mencangking, membawa dalam sekali berjalan.",nyangkeng
cangkir.,cangker
cengkeram,cangkerrem
mencengkeram.,nyangkerrem
memeluk erat-erat seperti bergantung.,cangketthe'
"tang, penjepit .",cangketthem
cangkuk,cangko'
mencangkuk,nyangko'
cangkokan.,cangko'an
melawan .,cangnga'
celup,cangrep
mencelup,nyangrep
mencelupkan .,nyangreppagi
bengkok .,cannok
berjanji dengan saling mengaitkan jari.,canthek
"cantol, cantel",canthel
"mencantel, mengait dengan kaki",nyanthel
"mencantelkan, mencantolkan.",nyanthellagi
"canting, gayung, penyiduk air.",cantheng
"cantol, cantel",canthol
"mencantol, tercantol",nyanthol
"mencantolkan, mencantelkan.",nyanthollagi
cincao.,cao
kurus dan pucat .,caong
"cap, stempel",cap
bercap,aeccap
mengecap.,ngeccap
capan.,capan
bercakap-cakap dengan tak ada henti-hentinya.,capak
"caping, topi lebar",capeng
"mengenakan ""capeng"".",acapeng
"terikutkan, menyamai, bersampaian",capo'
mengena.,nyapo'agi
caplok,capplok
"mencaplok, mencakup.",nyapplok
"cara, seperti.",cara
memegang/mengambil dengan telapak tangan tertelungkup.,caramak
blobor  .,carambak
sb minuman dari cecahan mangga yang dicampur dengan lombok dan gula jawa.,caramcam
ranting bambu.,carang
lincah .,carapcap
blobor .,carbak I
mulut besar.,carbak II
suka makan makanan apa saja.,carbaka
sobek sehelai-sehelai,carbing
menyobek sehelai-sehelai .,nyarbing
terperosok ke dalam tempat yang berlumpur.,carbuk
tebar,carcar
menebarkan.,nyarcar
"sobek, robek",care
"menyobek, merobek",nyare
"sobekan-sobekan, menyobek-nyobek.",re-careyan
"terserak-serak, tercecer-cecer.",careccet
"carik, penulis kepala desa.",carek
cerewet.,careme
ceremai .,caremme
"benci, kesal hati",caremmet
membenci.,nyaremmedi
"cerita, kisah",careta
bercerita,acareta
menceritakan.,nyareta'agi
cerewet.,cerewet
"sauk, penimba air, jaring kecil penangkap ikan",caro'
"menyauk dengan ""CARO"".",nyaro'
corobong.,carobong
ceroboh.,carobu
berkelahi tanding dengan senjata tajam.,carok
"bocek, bopeng .",carokong
"bopeng, bekas luka kena cacar dimuka.",caromo'
lengkung yang simetris.,carong
rata/pepat melebar.,carpak
suka mengocek .,carpet I
menjadi melebar .,carpet II
sebangsa sayuran dari batang buah bentul.,carpot
catat,cathet
mencatat,nyathet
catatan.,cathedan
catut,cathot
mencatut,nyathot
"tukang catut, orang yang suka mengambil keuntungan berlimpah .",tokang cathot
"kata, ucapan",cator
"berkata, bercerita",acator
terceritakan.,kacator
"sangat, amat, terlalu",ce'
terlalu benar .,ce' sarana
tumbuk,cecce
"menumbuk, menghancurkan .",nyecce
"tindih, pencet",cecce'
"menindih, memencet",nyecce'
"alat penindih, tempat menindih.",cecce'an
terlalu pendek .,cecceng
tertinggal,ceccer
berjalan jauh di belakang.,nyeccer
cicil,cecel I
mencicil,nyecel
cicilan.,cecelan
"cacat, ciri .",cecel II
"bertubi-tubi, berderai-derai .",cecot
teduh .,cedda
mengambil dengan memasukkan tangan.,ceddhuk
cegah,cegga
"mencegah, memantangi",nyegga
"pantangan, cegahan.",cegga'an
cecak.,cekcek
cekcok,cekcok
bercekcok.,acekcok
"lekat, rekat",cekka'
memegang erat-erat seperti terlekat.,nyekka'e
sb racun binatang yang dimasukkan dalam makanan.,cekkek
cekik,cekkkel
mencekik.,nyekkel
sb perjudian dengan kartu cina.,cekki
ceguk,cekko'
"cegukan, berceguk-cegukan.",cekko'en
cekok,cekkok
mencekok,nyekkok
mencekoki.,nyekkogi
cekung  karena baru sembuh.,cekkong
babi hutan.,celeng I
"mercon, petasan.",celeng II
"menabung dalam ""celengan""",celeng III
tempat menabung uang dari tembikar/kaleng.,celengan
lekuk .,celgem
cekung  karena baru sembuh.,celkong
cela,cella
mencela.,nyella
"celak mata, penghitam pinggir kelopak mata",cella'
"menggunakan ""cella"".",acella'
hitam,celleng
lebih hitam,cellengan
hitam rata,celleng molos
"dingin, sejuk.",cellep
tancap,cellet
menancapkan,macellet
"terendam dalam lumpur, masuk lumpur .",tacellet
ciduk,cello'
penciduk,lo'-cello'
"menciduk, menimba.",nyello'
lumpur.,cellot
celup,cellup
"mencelup, mewarnai",nyellup
"celupan, barang yang dicelup.",cellupan
masam,celo'
sayur asam .,kella celo'
beradu dan melekatkan  muka dengan yang lain.,cemcem
bergerak ke mana-mana .,cemeng
kotoran tahi.,cemmer
"tak terlihat lagi, jauh sekali.",cemot
cina,cena
waluh cina,labu cena
cendol dawet .,cendhul
menyingsing.,cengceng
sambal.,cenge
tegang .,cenggang
"tak mau menurut, bandel, kepala batu.",cengkal
cengkeh.,cengke
"siku, sikut.",cengkol
"keheranan, terperanjat.",cengnga'
"segar, bugar.",cengngar
"tercenung, termenung.",cengngeng
daging mulut lembu.,cengor
bokor/waskom dari kuningan.,cenneng
"menempeleng sampai berbunyi ""tar"".",centhar
melenting .,centheng
"centong, senduk nasi.",centhong
mulut  .,centhong
cicip,cepcep
mencicip.,nyepcep
bercakap-cakap dengan tak ada henti-hentinya.,cepek
"ceper, rata .",ceper
menangkap dengan mulut.,ceppa'
"lekas, cepat  .",ceppet
enak/gurih yang memuaskan.,ceppo
tua bangka.,ceppok
"langsung, betul, benar.",cer
"tebar, sebar",cercer
"menebarkan, menyebarkan .",nyercer
sering kencing.,cercer
cirit,cere'
"bercirit, menceret.",acere'
"ceret, tempat air, eskan.",ceret
"ciri, tanda khusus",cerre
berciri khusus,acerre
memberi ciri khusus.,nyerre'e
kikir.,cerre'
jerit,cerreng
menjerit,acerreng
menjeritkan.,macerreng
cat,cet
mengecat,ngeccet
barang yang dicat.,cedan
jejal,cetcet
"menjejalkan, memasukkan dengan paksa.",nyetcet
cetak,cetha'
mencetak,nyetha'
cetakan,cetha'an
percetakan.,percetha'an
kepala,cethak
berkepala,acethak
memberikan kepala.,nyethagi
periuk.,cethe
cetok .,cethok
gentong kecil yang digunakan untuk mengambil air.,cettheng
"bunyi ""tet-tet""",cetthet
"kancing yang dapat berbunyi ""tet"" .",kanceng cetthet
memasukkan jari ke dalam lubang.,cettho'
"bunyi ""tok-tok"".",cethok
"bunyi ""tor-tor"".",cetthor
"mengurangi, mengambil sebagian.",cetthot
"hambar, kurang bergaram.",ceya
cium,ceyom
mencium.,nyeyom
cinta,cinta
mencintai,acintae
mencintai,nyintae
cinta-cintaan.,ta-cinta'an
"hambar, kurang bergaram.",ciya
cium,ciyom
mencium.,nyiom
"godaan, cobaan",coba
"menggoda, mengusik.",nyoba
coba,coba'
mencoba.,nyoba'
"terus-menerus, tak berhenti-henti .",cobba
ketumbu kecil,cobbu'
memasukkan ke dalam ketumbu.,nyobbu'i
cubit,cobel
mencubit pada paha/pipi.,nyobel
"laya, cowek.",cobik
tusuk,cocco
menusuk berkali-kali.,nyocco
"paruh, patuk",cocco'
"memaruh, mematuk.",nyocco'
tusuk,coco
penusuk,co-coco
menusuk.,nyoco
"sesuai dengan harga beli, tak rugi dan tak untung.",coco' I
tusuk,coco' II
menusuk,nyoco'
tertusuk .,tacoco'
"cocok, sesuai benar",cocok
mencocokkan,nyocokkagi
menyelamati orang meninggal tepat pada hari meninggalnya.,nyocogi
paruh,cocor
memaruh,nyocor
"codot, kelelawar.",codhut
cegah,cogak
"mencegah, mengahalangi",nyogak
kepergok.,tacogak
halangan,cokba
"tak ada halangan, terus menerus .",ta' cokba
tunduk,cokel
menundukan kepala dalam-dalam.,nyokel
sungkup,cokep
bersungkup,acokep
menyungkup.,nyokep
cuka.,cokka
menutup mata dengan kedua belah tangan.,coko
cukup,cokop
mencukupi,nyokobi
secukupnya.,sacokobba
cukur,cokor
pencukur,kor-cokor
bercukur,acokor
mencukur,nyokor
pemotong rambut,panyokor
tukang potong rambut .,tokang cokor
"malu, kecewa karena keinginannya tak sampai.",cola
"cokel, cukil",cole'
pencokel,le'-cole'
mencokel.,nyole'
mulut,colo' I
bermulut,acolo'
jual mahal,kacolo'an
"tusuk, colok",colo' II
"mencolok mata, menusuk .",nyolo'
"obor, suluh",colok I
bersuluh,acologan
"mengobori, menyuluhi.",nyologi
mendatangi dari tempat tinggal di luar kota .,colok II
tanggal,colpak
patuk,colpe'
"mematuk, mengambil dengan patuk .",nyolpe'
"hanya, cuma, percuma.",coma
pohon cemara.,comara
cubit,combel
mencubit .,nyombel
cerewet.,comel
"cemeti, cambuk.",conetthe
terbenam .,compet
rumah  .,compo'
colok,condher
"mencolok mata, menusuk .",nyondher
"malu, kecewa .",cone
perahu pengangkut.,coneya
sebutan kepada anak laki-laki .,cong
iris,congap
mengiris sedikit untuk mengetahui masak tidaknya .,nyongap
keong .,congcong
"cukit, cungkit, cukil",congke'
"melukai sedikit, mencukil, mencukit",nyongke'
"cungkitan, cacaran.",congke'an
bunga bangkai.,conglaccong
"jatuh kepala lebih dahulu, jatuh tersungkur.",conglet
lampu minyak tanah dengan sumbu kecil.,conglet
"cungur, mulut .",congor
minum dengan mengucurkan dari botol.,conthang
"mengambil sedikit, mengurangi sedikit.",conthet
contong .,conthong
contoh,conto
menyontoh.,nyonto
ludah,copa
berludah,acopa
tempat ludah.,pacopa'an
kemut,copcop
mengemut.,nyopcop
sempit,cope'
menyempiti,nyope'e
sempit pengalaman/pengetahuannya .,cope' langnge'na
copet,copet
mencopet.,nyopet
cembul .,copo
tanggal,copplak
menanggalkan,nyopplak
"curah, jurang, ngarai.",cora
"corak, seperti",cora'
"seperti, sebagai",acora'
"coraknya, agaknya, seperti.",cora'na
pukul berturut-turut,corcor
memukul berturut-turut.,nyorcor
minum sekaligus dengan sebanyak-banyaknya.,cordhak
sobek,core
penyobek,re-core
menyobek.,nyore
korek api,corek I
menyalakan korek api .,nyoregi
"corek, coret",corek II
mencoret,nyorek
coretan.,coregan
penusuk,corek
menusuk sambil memutar.,nyorek
korek api,coret I
menyalakan korek api .,nyoredi
"coret, gores",coret II
mencoret,nyoret
coretan,coredan
coretan.,caloret
sb bahan perekat.,corkole'
intip,corne'
lubang untuk mengintip,ne'-corne'
mengintip.,nyorne'
nanah telinga .,coro'
"corong, semperong",corong
bersemperong,acorong
"menyorongi , menyemperongi.",nyoronge
"sering berbunyi ""rot-rot"" .",corot I
tikus yang bermoncong panjang .,corot II
cabut,cothat
mencabut .,nyothat
membeli dengan eceran,cothek
barang eceran.,cothegan
sutil,cothel
menyutil.,nyothel
"pedot, terlepas.",cothot
"berakhir, buntu.",cottho'
tusuk konde,cucu'
memakai tusuk konde.,acucu'
"anak katak, berudu, kecebong",daba'
"ingat-ingat basa, ingat-ingat sedikit .",nga'-enga' daba'
silakan  .,dabek
cabut,dabu'
mencabut.,ndabu'
membalas budi .,dada
lemas karena banyak minum,dadak I
bersifat mendadak.,dak-dadagan
tiba-tiba.,dadak II
dadar,daddar
"mendadar, berdadar .",addar
jadi-jadian.,dadin
merah ketua-tuaan.,dadu
dadali .,daddali
jadi,daddi
menjadikan,madaddi
menjadikan,andaddiyagi
kejadian,kadaddiyan
jadi mata-mata .,daddi tonju'
daerah,daerah
"sampai, hingga .",daga
"dagang, pedagang",dagang
berdagang,adagang
dagangan,dagangan
daging,daging
berdaging,adaging
"seketika, sekaligus.",dakkala
"seketika, sekaligus.",daksakala
"sampai, hingga .",dala
"pelacur laki-laki, gigolo",dala'
"menyetubuhi pantat seorang laki-laki oleh laki-laki lain, homo seksuil.",ngadala'
tangkai daun/buah.,dalangkedan
sebab musabab,dalat
mempunyai sebab musabab.,adadalat
telaten,dalaten
menelateni.,adalatene
tebal .,dalbi
jerembab .,dalbus
"hamba, saya  .",dalem I
rumah  .,dalem II
menutup sekaligus .,dalgep
delima .,dalima
bangau.,dalko'
malas.,dalmos
kertas,dalubang
kertas kayu,dalubang kaju
kertas minyak,dalubang mennya'
lampu,damar
berlampu,adamar
"flash-light, sentolop",damar senter
lampu minyak tanah yang dapat dijinjing .,damar teng
serta buah nangka,dame
serta buah nangka.,dalame
"tangkai, gagang",danang
"tangkai, gagang",dalanang
"bertangkai, bergagang",adanangan
"tangkai, gagang",danangan
"tangkai, gagang .",dalanangan
"dandan, berhias",dandan
"berdandan, bersolek.",adandan
ompong sebagian.,dangnga'
"burung dara, merpati.",dara
berjalan kaki.,dara
derajat,darajat
durhaka,daraka
mendurhakai.,adarakae
genderang.,darakdak
batang padi yang sudah dipotong.,darame
berdiri berjejer.,darap
daratan,darat
mendarat.,adarat
burung daris .,daris
dahulu mendahului.,darumban
darurat.,darurat
"dakwa, tuduh",da'wa
"mendakwa, menuduh",adakwa
"dakwaan, tuduhan.",da'wa'an
lepra .,deddel I
cecap,deddel II
bercecap,adeddel
mencecap.,neddel
"suka menghina, suka menyiksa, dengki.",dellap
gemuk .,dembek
dengki.,denggi
bunyi dari kerongkongan,derrap
mengeluarkan bunyi dari kerongkongan .,aderrap
"deras, lebat .",derres
"untuk, kepada",dha'
begini,dha' iya
makan,dha'ar
makan,adha'ar
"makannya, makanannya, pendapatannya",dha'arra
"tempat makan, perut  .",padha'aran
kata,dhabu
berkata  .,adhabu
dacin .,dhacen
dada.,dhadha
berat dan gemuk .,dhadha
"sekaligus, seketika.",dhadhap
dadap .,dhadhap I
bingung .,dhadhap II
dadu,dhadhu
berjudi dengan dadu .,amaen dhadhu
daftar,dhaftar
mendaftar,adhaftar
mendaftarkan.,adhaftarragi
nanti,dhaggi'
nanti .,dhaggi'an
dahlia .,dhahliya
dahi.,dhai
utara,dhaja
barat laut,bara' dhaja
timur laut .,temor dhaja
dayung,dhajung
mendayung.,adhajung
minum dalam jumlah yang banyak.,dhakdhak
"memukul-mukul sesuatu dengan bunyi ""dak-dak"".",dhakdhak
"serakah, tamak, loba.",dhakka
dakon,dhako
bermain dakon.,adhako
dalang,dhalang
mendalangi.,adhalange
dalam,dhalem
mendalami.,adhaleme
mengharapkan sesuatu pemberian dengan penuh perhatian.,dhalnges
"enteng, ringan",dhammang
meringankan.,madhammang
meja besar bundar dengan kaki pendek .,dhampar
menarik-narik dengan paksa.,dhandhan
"dam, bendungan air",dham I
"mengedam, membendung .",ngeddham
dam-daman .,dham II
tengadah,dhanga
menengadah,adhanga
menengadahkan.,madhanga
burung gagak,dhangdhang
tanda silang .,tapa' dhangdhang
"rangkai, dempet",dhangke'
"berangkai, berdempet.",adhangke'
dansa,dhangsa
berdansa,adhangsa
berdansa-dansa.,sa'-dhangsa'an
nanti,dhante'
menanti,adhante'
menanti-nanti,te'-dhante'an
ternantikan.,kedhanten
pendapa.,dhapa
"sampai, tiba",dhapa'
"sampai, tiba",napa'
menyampaikan .,madhapa'
dapur.,dhapor
dewasa  .,dhapplok
darah,dhara
berdarah,adhara
mimisan .,dhara elongen
"lenguh, erang",dharak
"melenguh, mengerang .",adharak
duduk mengangkang.,dharakkang
terbuka lebar-lebar.,dhardhar
dari.,dhari
jongkok,dharukkong
berjongkok,adharukkong
menjongkokkan.,madharukkong
dasar,dhasar
berdasar,adhasar I
mendasarkan dagangan,adhasar II
"dasaran, tempat menunjukkan barang dagangan",dhasaran
undang-undang dasar .,dhang-ondhang dhasar
dasi,dhasi
berdasi.,adhasi
datang,dhateng
mendatangkan,madhateng
kedatangan,kadhatengan
kedatangannya,padhatengnga
datang bulan .,dhateng kotorra
daun,dhaun
berdaun,adhaun
bawang daun .,babang dhaun
dayak .,dhaya'
"debat, bantah, sanggah",dhebat
"berdebat, berbantah, menyanggah.",adhebat
"dekan, ketua fakultas.",dhekan
dekam,dhekkem
berdekam.,adhekkem
jongkok,dhekkong
berjongkok.,adhekkong
diam-diam tak memongahkan diri,dhemdhem
berlagak diam tetapi akan melawan kalau disalahi .,dhem-dhemdhem kolek
demokrasi.,dhemokrasi
tinggi besar .,dhempal
dempul,dhempol
mendempul.,adhempol
rasa berat kepala .,dheng-dheng
melihat ke atas .,dhengnga'
depa,dheppa
mendepa.,adheppa
"deram, aum",dherreng
"menderam, mengaum.",adherreng
desember .,dhesember
"tidak tumbuh dengan sempurna , merana dalam kehidupan .",dhessa
desak,dhessek
mendesak.,adhessek
dewi.,dhewi
gonggong,dhibing
menggonggong .,adhibing
timpang,dhicca'
berjalan timpang.,adhicca'
terlepas dari tumpuan .,dhiccel
"kagok, canggung.",dhi'dheng
kisik,dhi'dhi'
mengisik .,adhi'dhi'
didik,dhidhik
mendidik,adhidhik
pendidikan.,pandhidhigan
