Indonesia,Madura
saking dari marahnya sampai giginya mengkertak-kertak.,sakèng ḍâri pegghellâ dhâghâ ret-ngaret
bintang berkilau-kilauan langit cerah memperindah alam.,bintang tèp-ngarettèp langngè'na bhersè mapema alam
hati bingung tidak karuan kepikiran,atè bhingong ta' karoan kèr-pèkkèran
hanya cuma itu?,ghun karo jârèya?
bangkai tikus dipinggir jalan itu dikerubuti lalat.,bhâµmgnga tèkos è pèngghir jhâlân èkarobghudhi lala'
"biasanya jika telah malam banyak nyamuk berkerubung, lebih-lebih jika selokannya tidak terawat.","biyasana mon la malem rengngè, ngarobung, bi-lebbi mon lèkèna ta' karabât"
berasnya diwadahi karung.,bherrâssâ èbâḍḍhâi karong
di w~ pagi ayam jantan sama-sama berkokok saling bersauta,è bâjâ lagghu ajâm lakè' paḍâ akaronno' ot-saodhân
setelah berlari-lari tubuhku terasa linu-linu semua.,marè ka'-berka'an tang bhâdhân arassa nyo-ngaronyo kabbhi
kalau memang berani jangan keroyoka,mon lakar bângal jhâ' ngaroyo'an
patuh dan tunduk terhadap kehendak Allah.,manggu' ka karsana Alla
"biarkan, saya yang akan berangkat.","karsana, kaulâ sè mèyossa"
berjemur diri di tepi pantai.,akartang è pèngghir sèrèng
uangnya dicatat di buku kas.,pèssèna è catet è buku kas
tidak bersuara tahu-tahu berkentut.,lo' akasa' temmona pas akento'
kasar seperti paruta,kasar akanṭa rot-parot
orang yang berbaju hitam itu sudah jelek lagi sangat kasar tingkah lakunya.,orèng sè akalambhiân celleng rowa sala jhubâ' ghi' cè' kasarra tèngka polana
konon daun jambu itu mempunyai khasiat.,oca' èpon ḍâunna jhâmbhu panèka angghâḍhuân kasèyat
tidur hanya beralaskan tikar.,tèḍung coma akasor tèker
sana kamu pulang saja.,kassa bâ'na molè bhâi
sana kamu pulang saja.,kassa bâ'na molè bhâi
"saya sangat menyesal telah melawan orang tua, saya mau minta maaf agar tidak berdosa.","sèngko' cè' kastana ella alabân ḍâ' orèng towa, sèngko' asaporaa ma' lèta' dhusa"
"dikatakan kepada orang yang suka meniru-niru atau berperilaku seperti orang yang jauh diatasnya, sehingga kesusahan bahkan kebinasaan yang didapat.","kata' nènḍhââ sapè "
mayitnya diusung menggunakan katil.,mayyiddhâ èosong ngangghuy katèl
bersayur daun pepaya,aghângan ḍâunna katès
daun pepaya berasa pahit.,ḍâunna katès arassa paè'
kelihatan dari daratan,katonna dâri tèngghângan
baru saja tampak.,ghi' bhuru ngaton
kemarin malam rumah tukang becak terbakar.,bâri' malem romana tokang beca' katonon
uang sumbangan di bawa.,pèssè sombhângan èpakatot
kakak membawa oleh-oleh dari pasar.,kaka' ngèbâ lè-ollè ḍâri pasar
yang maha kuasa,sè maa kebâsa
orang Islam bila bersembahyang menghadap ke kiblat.,orèng èslam mon abhâjâng ngaḍḍhep ka kèbblat
kakek merokok sampai asapnya berkepul-kepul.,"emba aroko, kokossa sampè' bhul-kebbhulân"
bercepuk-cepuk di ombak yang dangkal.,acak-kècak è ombâ' sè ca-raca
bumbu sate ayam yang enak adalah kecap dicampur kacang.,"lappana sate ajâm sè nyaman, kècap ècampor kacang"
halamannya becek terkena huja,tanèyanna kecca èkennèng ojhân
darahnya keluar meleleh lalu kering agak kental.,ḍârâna kalowar alèllè pas kerrèng abâk kecceng
pengemis itu memakai baju yang sangat kotor.,orèng emmès rowa ngangghuy kalambhi co-kecco
anak nakal itu suka mencuri mangga di rumahku,kana' bheller rowa clhujân ngèco' pao è tang roma
baju yang dijemur dicuri maling.,kalambhi sè è jhemmor è kèco' malèng
menjadi seorang lelaki jangan pengecut.,dhâddhi rèng lakè' jhâ' di'-keddi'
anak-anak remaja sekarang banyak yang ketagihan narkoba.,na'-kana' ngangoḍâdhân satèya bânnya' sè kedhâghiân narkoba
"dikarenakan sudah sepuh, kakekku tidak bisa mendengar atau tuli","polana ella seppo, tang emba ta' bisa ngèḍing otabâ ghupek"
mencium bau bangkai,ngèḍing bâuna bhâṭang
masih belum mendengar,ghi' bellun ngèḍing
dua koyan beras.,ḍu kèjân bherrâs
bila punya kekuasaan jangan terlalu kejam terhadap orang yang tidak berpunya.,"mon anḍi' kakobâsaan jhâ' jem-kejjem ḍâ' orèng sè ta, anḍi'"
anak kecil yang ingusan itu sebentar-sebentar nangis melulu.,kana' kènè' sè amèro'an rowa jhâ'-sakejjhâ' nangès malolo
gergajinya kikir lagi supaya lebih tajam.,gherghâjhina kèkèr polè sopajâ lebbi tajhem
"jang suka menggigit jari, itu tidak baik.","jhâ' ngèkkè'an ghrighi', jârèya ta' bhâghus"
"anaknya baru saja selesai kencing, ayo cepat diceboki agar tidak gatal.","bhâji'na ghi' bhuru marè akemmè, dhuli mara pas kèlaè ma'lè ta' ghâtel"
panjangnya kira-kira lima kila,lanjhângnga ra-kèra lèma kèlan
kemarin ada orang mati di tengah sawah karena terkena sambaran petir,bâri' bâḍâ orèng matè è tengnga sabâ amarghâ kennèng tappor kèlap
pohon nangka dibelakang rumah disambar petir.,bhungkana nangka è buḍina roma è tappor kèlap
kuat membeli tapi tidak bisa memakainya.,"kellar mellè ta' kellar ngangghuy "
orang itu bila mencela sangat keterlalua,orèng rowa mon nyalè cè' ngelleddhâ
gadis Bali biasa mengenakan kemba,orèng bâbinè' Bhâli biyasa akembennan
anaknya telah lahir kembar laki-laki.,ana'na ella laèr kembhâr lakè'
bermain di halaman sangat bergembira ria.,amaèn è tanèyan cè' kembhirâna
makan nast goreng secara keroyoka,ngakan nasè' ghuring èkembhuli
"karena dimarahi, anak yang tidak bersalah itu tertahan untuk menangis.",polana èombhâng kana' sè lo' anḍi' sala rowa bikembiân
perutnya kembung sering berkentut,tabu'na kembung akento'an
dimana rumahmu dik?,kemma benkona bâ'na lè'?
"mana kuburuan cina, ayo","kemma jhârâddhâ cèna yu' koro' pandhusana, kemma jhâlân tarèsna noro'a ka bengkona "
ikan di atas meja dihabiskan semua oleh kucing.,jhuko'è attas mèjâ èpakemmet kocèng
mobil kakakku berwarna hitam kemerah-meraha,mobillâ tang kaka' abâma kemomo
"karena sudah tidak mempuyai apa-apa lagi, terpaksa bapaknya mengemplang hutangnya.","amarghâ tagâ' sè èkaanḍi' polè, kepaksa bapa'na ngemplang otangnga"
mumpung masih muda rajinlah bersembahyang,pong-pong ghi' ngoḍâ pakenceng sè abhâjâng
tidak semangat bekerja.,ta' kenceng alako
bunganya masih menguncup belum mekar.,kembhângnga ghi' ngèncop ghi' ta' mekkar
"karena tidak mau disuruh-suruh, anak gadisnya itu pura-pura sakit perut.","polana ta' enḍâ' èro-soro, ana' binè'na rowa ḍhâkènḍhâ sakè' tabu'"
"tidak adil, tidak mendengarkan perkara dari berbagai pihak biasanya condong menjadi kericuhan","kenḍhâng ètabbhu salajâ "
"lemah, lemas seperti orang belum makan, dikatakan kepada orang yang tidak bisa berbuat apa-apa karena ketidak tahuannya tentang hal sesuatu.","mara kenḍhâng ta' èsiḍa' "
minum air yang ada di kendi sangat dingin dan segar.,ngènom aèng è kenḍhi cè' cellebbhâ bân seggher
duduk-duduk sambil berdiang,ju'-toju' sambi akènḍu
orang yang teraniaya,orèng sè kèanèajâ
kalau yang ini maaf tidak bisa.,manabi panèka saporana lo' kèngèng
anjing yang berada dikuburan itu pada tengah malam menggo-nggong-gonggong lama sekali.,bhurus sè bâḍâ è kobhurân rowa è tengnga malem akèngkèng cè' abiddhâ
kena den da karena tidak kuat membayar,kennèng ḍhinḍâ polana ta' kowat majâr
buah ini bisa dimakan,buwâ arèya kennèng kakan
ayamnya tidak bisa ditangkap,ajâmma ta' kennèng pèghâ'
tidak bisa dipercaya,ta' kennèng èparcajâ
"dikarenakan lama tidak diobati, luka boroknya terasa sakit berdenyut-denyut.","arnarghâ abit lo' èobhâdhi, porona arassa sakè' anyot-kennyot"
jika banyak makan biji nangka tentu akan kentut terus-terusan,mon bânnya' ngakan bighilân tantona akento'an rosterrosân
"dikatakan kepada orang yang semaunya sendiri, tidak memperdulikan keadaan orang lai","mara orèng akento' "
sangat lucu rambutnya dikepang dua,cè' locona obu'na èkèpang ḍuwâ'
hatiku tertarik akan dirimu.,atè bulâ kepèncot ka dhika
banyaknya murid baru yang masuk pada tahun ini kira-kira 35 orang,bânnya'na morèd anyar sè maso' taon rèya ra-kèra 35 orèng
takkan lupa akan senyumannya,ta' kèra loppa marghâ pèsemma
jodoh dan mati ada yang mengatur.,juḍhu bân patè bâḍâ sè ngeraksa
anak nakal itu jika dilawan dengan sungguh menjadi tidak berani.,kana' nakal rowa mon èlabân sakalè pas kercet
kirimanku sudah sampai?.,tang kèrèman ella ḍâpa'?
"rambut kakek putih semuanya, kulitnya sudah berkeriput.","obu'na emba lakè' potè kakabbhi, kolè'na ella ro'-kèro'"
karapan sapi di Madura,kerrabhân sapè è Madhurâ
sudah tiba waktunya disebelah sana sapi hendak dikerap.,ella ḍâpa' satèya tèmasana sapè bhâkal èkerrap rowa' ghun è ḍissa
dagingnya Liat sulit untuk digigit.,dhâghingnga kerras ta' ghâmpang èkèkkè'
wataknya memang keras hati,bâtegghâ lakar kerras
sesudah berlari-lariankeringatnya bercucura,marè ka'-berka'an pellona ngerray
biasanya jika masuk angin saya minta dikerok.,"biyasana mon maso' angèn, sèngko' mènta kerrèk"
malam-malam anak-anak mencari kunang-kunang di rerimbunan pohon bambu.,lem-malem na'-kana' nyarè nang-konang è kerrengngan
"diwaktu musim kemarau, banyak tumbuhan menjadi kering, sungai juga kering.","è bâkto mosèm nèmor, bânnya' ka'-bhungkaan sè kerrèng, songay kèrrèng kèya"
bajunya berkerut-kerut karena belum disetrika.,kalambhina aso'kerso' polana ghi' ta' èseddrika
Al-Quran adalah kitab yang harus dijadikan pedoman oleh seluruh ummat Islam.,AlQuran èngghi panèka kètab sè salerressâ andhâddhiaghi pandhuman mongghu ḍâ' sadhâjâna ommat èslam
kuah yang dimasak belum bercampur menyatu.,kuwa sè èmassa' ghi' ta' ketket
"tiga hari tidak mandi, tubuh kotor-kotor.","tello arè ta' manḍi, bhâdhân mo-ketomo"
tadi malam rumah temanku terbakar.,malemmma romana tang kanca ketonon
awas kena terjang.,sènga' kennèng kettè'
seluruh badan gemetaran,samarbhâna bhâdhân terketterran
tadi malam saya menggigil lcarena sakit,sèngko' malemma ter-ketterran amarghâ sakè'
jika bepergian jauh jangan takut-takut.,mon ajhâlânan jhâu jhâ' tèr-kettèr
air di swnur semuanya keruh.,aèng è somor ketto kakabbhi
"bapaknya pandai, demikian juga anaknya.","bâpa'na pènter, ana'na pènter kèya"
"setelah mencicipi buah asam yang sangat kecut, matanya dipicing-picingka","saellana nyèpcèbhi accem sè cè' cèlo'na, matana cer-kicerran"
berkilo-kilo jauhnya yang berjalan,alo-kilo jhâuna sè ajhâlân
baju yang dipakai di rumah atau baju keseharia,"klambhi ma-roma, klambhi langsaran"
daunnya jatuh berserakan kemana-mana.,ḍâunna ghâgghâr aklarkaran
bau ketiaknya sangat apek.,bâu klèmoognga cè' amengnga
bau ketiaknya sangat apek.,bâu klèncabbhâ cè' amengnga
"mendengar ibunya meninggal dunia, anak itu langsung pingsa","ngèḍing èbu'na adhingghâl omor, kana' rowa pas klengnger"
anaknya yang kecil minta jalan-jalan naik sepeda,ana'na sè kènè' mènta jâr-klènjâr nompa' sapèḍa
"tepat hari libur, anak-anak sekolahan berlibur ke pulau Bali.","teppa' arè prèi, na'-kana' sakolaan aklènjâr ḍâ' polo Bhâli"
polisi memborgol maling yang tertangkap di pasar.,polisi nglèntong malèng sè ètangkep neng pasar
"setelah air ditambak sumt, banyak ikan menggelepar-gelepar.","saellana aèng è tambhâ' sorot, bânnya' jhuko' apek-kleppegghân"
daunnya jatuh berserakan kemana-mana.,ḍâunna ghâgghâr akalèrkèran
bangun tidur lalu menggeliat-geliat.,jhâghâ tèḍung pas aklèya'
nenek sudah piku,emba binè' ella nglolè
air yang ditaruh di tong itu sampai meluap-luap.,aèng sè èsabâ'è ettong rowa dhâghâ wa-nglowa
mau pergi kemana dirimu dik?,èntarra ḍâ' ko'amma dhika lè'?
mau pergi kemana dirimu dik?,èntarra ḍâ' ko'imma dhika lè'?
kamu mau kemana?,ko' kammaa dhika?
tali yang terbuat dari kulit daun enau,talè ḍâri kobâl
khawatir dan takut terlupakan,"kobâtèr tor tako, kaloppaè"
"saya khawatir kepadamu, takut tidak menepati janji.","bulâ kobâtèr ka dhika, tako' lopot jhânjhi"
sebelum makan tangannya harus dibasuh di kobokan yang sudah disediaka,sabellunna ngakan tanangnga kodhu abâcco è kobhughân sè èseḍiaaghi
biasanya jika lebaran orang-orang banyak pergi ke kuburan untuk nyekar,biasana mon tellasân rèng-orèng paḍâ èntar ḍâ' kobhurân kaangghuy nylasè
dimana-mana jika ada kuburan mesti ada bunga kamboja.,èman-kamman mon bâḍâ kobhurân mastè bâḍâ kembhâng campaka moljâ
jika bersembahyang memakai peci hitam.,mon abhâjâng biasa ngangghuy kocca celleng-
"jika bermain remi, siapa yang kalah semestinya mengocok.","mon amaèn rèmi, sapa sè kala kodhuna ngocco'"
burung kutilang jika diberi pakan pisang berkicau terus.,mano' ketilang mon èberri' pakan gheḍḍâng ngocè terros
orang yang berjual rujak itu memakai ulek-ulek yang terbuat dari kayu.,orèng sè ajhuwâl rojhâk rowa ngangghuy cek-kocek ḍâri kaju
"jika temanku tidak bisa datang, kamu harus bisa menggantikannya.","mon tang kanca ta' ḍâdheng, abâ'na kodhu bisa ngântèè"
kokohkan yang berpegangan,pakoko sè ategghu'ân
kokoh tidak mudah goyah.,koko ta' ghâmpang kocak
"ayah merokok, asapnya berkebul-kebul.","rama aroko', kokossâ bhul-kebbhulân"
sungguh enak makan sup kikil kambing.,nyaman ongghu ngakan sop kokoddhâ embè'
penyakit ibu kambuh lagi setelah setabun lamanya sembuh.,panyakèddhâ èbu' komat polè saellana sataon abiddhâ sè bârâs
kacangnya sudah dikupas.,kacangnga marè èkombi'
sangat sulit jika disuruh-suruh.,cè' komeddhâ mon èro-soro
memompa ban sepeda,ngompa ban sapèḍa
uangnya disembunyikan di sarungnya.,pessèna èpet-kompet èsarongnga
belum memiliki cucu,ghi' ta' anḍi' kompoy
cucunya sudah bisa berjala,kompoyya ella bisa ajhâlân
adat yang sudah kuno.,adhât sè ella kona
bunga mawannya sudah mulai berkuncup.,kembhâng mawarra ella molaè akoncop
nanti siang adiknya dijemput di sekolahan,ḍâgghi' seyang alè'na konè'è è sakolaan
jangan sampai membuat saya kepikira,jhâ' kongsè bulâ kèr-pèkkèran
pergi ke kondangan,èntar ka konjhângan
bertepuk-tepuk tangan berteriak kegirangan,pa'-kopa'an aèra' kapèraghân
bila masih terus menangis nanti kau akan dijewer telinganya.,mon ghi' nangès terros ḍâgghi' bâ'na èkopessâ kopèngnga
karena kehujanan bajuku basah kuyup.,polana kaojhânan tang klambhi kopo kabbhi
kamu jangan asal bicara,bâ'na jhâ kor ngoca'
"asal saja kamu mau, akan saya lamar.","kor ghellem, bâ'na bi' sèngko' èlamarra"
ayah membaca koran,rama maos koran
air di bak mandi kuraskan karena sudah kotor.,aèng jegḍing korasaghi polana ella kotor
"supaya tidak lepas, ayamnya dikurungi saja","ma'lè ta' buru, ajâmma korongè bhâi"
rumah dipinggir jalan itu tidak berpenghuni,roma èpèngghir jhâlân rowa kosong
"ayamnya berkotek-kotek, biasanya sudah bertelur.","ajâmma atak-kotak, biyasana ella atellor"
perempuan berduaan duduk-duduk sambil menyelisik kutu dirambutnya.,rèng binè' wâ'-ḍuwâ'ânju'-toju' sambi lè'-sellè' koto è obu'na
hendak pergi ke kota,èntarra ka koṭṭa
ekor cicak itu sudah putus.,bunto'na cekcek rowa ella koṭṭong
bagaimana yang dikatakan?,èkowa sè èkoca'aghi?
"beginilah yang menggoda anak yang tidak mau hidup sehat, sebagai pedoman untuk segera berhati-hati.","èkowa sè nguḍhâ, kana' ta' ghellem sè-bhersè, mènangka pandhuman ma' ghellis ngastètè"
daging soto yang berapunga,dhâghingnga soto akrambângan
orang yang marah itu mengomel-ngomel tidak karua,orèng sè pegghel rowa nyam-ngranyam ta' karoan
mulutnya berbunyi kecap-kecapa,colo'na amonyè cak-kreccaghân
langit cerah bintang putih berkilau-kilauan sangat indahnya.,langgè' bhersè bintang potè ḍhâp-ngreḍḍhâp cè' pemana
bukunya rusak digigit tikus.,bukuna rosak èkrèkèdhi tèkos
kamarnya dicat warna krem.,kamarra èeccèt bâma krèm
cincin dijarinya berkilauan,sello' èghrighi'na anap-krennap
urat-urat menjadi tegang semuanya.,ra'-ora' tengngrenteng kabbhi
uratku sepertinya bergerenyut-gerenyut.,tang ora' kaḍi'na apengkrèpeng
cahaya bintang yang berkedip-kedip.,cajana bintang tèp-ngrettèp
bangkai tikus dipinggir jalan itu dikerubuti lalat.,bhâṭangnga tèkos è pèngghir jhâlân èkrobghudhi lala'
perut berbunyi keroncongan karena belum maka,tabu' amonyè kroncongan amarghâ ghi' ta' ngakan
di waktu pagi ayam jantan sama-sama berkokok saling bersahuta,è bâjâ lagghu ajâm lakè' paḍâ akronno' ot-saodhân
setelah berlari-lari tubuhku terasa linu-linu semua.,marè ka'berka'an tang bhâdhân arassa nyo-ngronyo kabbhi
kalau memang berani jangan keroyoka,mon lakar bângal jhâ' ngroyo'an
burung gagak berkuar-kuar.,mana' ḍângḍâng wak-kuwaghân
nah! kalau begini siapa yang salah,lai mon ḍâ' iyâ sapa sè sala
nah! karena itulah saya tidak mau.,"la! mangkana, sèngko' la' enḍâ'"
jika sudah selesai segera dikumpulkan,san la marè dhuli kompolaghi
kalau sudah usai cepat pulang.,san la lobâr dhuli molè
lho! saya kan sudah bilang,lâ sèngko' kan la marè ngoca'
lho! kok bisa ya?,lâ mè' bisa yâ?
panas-panas begini jika minum legen sangat segar.,nas-panas dâ' iyâ mon ngènom la'ang cè' seggherrâ
"kalau kamu memang mengerti, jangan diladeni agar tidak menjadi pertengkaran",mon bâ'na lakar ngartè jhâ' la'jânè ma'lè ta' dhâddhi tokar
sudah suka marah malah semakin diladeni.,sala pegghellân mala sajân èla'jânè
pintu dorong ke samping yang terbuat dari gedek.,labâng soroghân biḍhik
lain dari pada yang lain,laèn ḍâri sè laèn
tidak ada yang lain hanya dirimu yang mempesona,"taḍâ sè laèn, coma dhika sè ngapèncotè"
lain hari sàja,laèn arè bhâi
bayinya telah lahir dengan selamat,bhâji'na ella laèr kalabân salamet
berlagak atau berperilaku seperti orang barat.,alagâ' mara rèng bârâ'
tiap pagi-pagi sekali saya sudah bangun tidur lalu shalat subuh,sabbhân ghu-lagghu sèngko' ella jhâghâ pas asobbhu
tadi saat masih pagi saya sudah didatangi tamu,ghellâ' ghi' lagghu sèngko' ella èḍâtengngè tamoy
esok hari saya akan berangkat ke Bangkalan,lagghuna sèngko' èntarra ka Bhângkalan
esok hari lebih pagi yang mau ke pasar.,lagghunna palagghui sè tjâ' pasarra
sekarang hari Rabu besok hari Kamis,satèya arè rebbhu lagghu' arè kemmès
besok pagi-pagi sekali saya akan membeli ikan di pasar lama,lagghu' ghi' lagghu sèngko' mellèa jhuko'è pasar laju
kelak jika sudah besar saya ingin bersekolah di Amerika.,ghu'-lagghu' mon la rajâ terro asakolaa ka Amerika
tangannya buntung sebelah,tanangnga kaṭṭong salajâ
kakinya kurus sebelah,sokona kiris salajâ
"ayo terbangkan layangannya disebelah sana, saya yang akan menariknya lalu panggil anginnya","mara ocol lajânganna ghun è ḍissa, sèngko' sè ngambhâdhâ pas olok angènna"
setelah dipukul lantas dibagaimanakan,marè èpokol lajhu èpaḍâ'râmma?
pakaian saya yang sudah usang oleh ibu diberikan kepada orang miski,"tang gânṭeng, orèng gânṭeng bânnya' otangnga kalambhi sè ju-laju bi' èbu' èbâghi ka orèng mèskèn"
"memang begitu kalau sudah selesai, lalu pura-pura lupa untuk membayar","lakar ḍâ' iyâ mon ella marè, pas pamaloppa sè majârrâ"
memang begitu yang dimaksud,jhâ' lakar ḍâ iyâ sè èkamaksod
memang betul sudah pulang,lakaran ella molè
benar-benar nakal anak itu.,lakar la mellèng kana' rowa
"jangan suka membeli ikan bandeng, ikan bandeng banyak tulangnya, jangan bersuamikan orang tampan, orang tampan banyak hutangnya","jhâ' mellèan jhuko' bhândheng, jhuko' bhândheng bânnya' tolangnga, jhâ' alakèan orèng "
dari dulu saya sudah mengatakan,ḍâri lambâ' sèngko' ella ngoca'
"karena sering tolah-toleh, rumah kamu sampai terlewati.","amarghâ segghut lè-tolèan, dhâghâ telambhâs ḍâri romana bâ'na"
bajunya tidak berfuring.,kalambhina ta' alamèn
gagang keris bergambar orang,lanḍhiân pottra sadhâ
gagang keris yang bentuknya seperti seulas buah nangka.,lanḍhiân nangka saoler
saya dan kakak setiap hari setelah shalat maghrib mesti mengaji di surau Pak Mat,sèngko' hi' kaka' sabbhân arè marèna abhâjâng maghrib mostè ngajhi è langghârrâ Pa' Mat
"sayur bayam ikannya tenggiri, jika berani kesini, jika takut pergi saja.","ghângan tarna' ajhuko' langghung, mon bângal kanna' mon tako' ondhur "
anak itu sangat tidak sopan terhadap orang yang lebih tua.,kana' rowa cè' langkana ḍâ' sè towaan
jauh lebih baik bila tidak diambil,langkong saè ta' èponḍhut
anak-anak sekolahan yang bertengkar itu oleh orang-orang dilerai.,na'-kana' sakolaan sè atokar rowa bi' rèng-orèng èlanglang
berenang di sungai,alangngoy è songay
tidak tahu berenang.,ta' tao alangngoy
mudah-mudahan panjang umur,ghâ-moghâ lanjhâng omor
bila mernetik kacang panjang pilih yang panjang-panjang,mon meṭṭèk oto' pèlè sè jhâng-lanjhâng
"panjangnya jangan dikurangi, benangnya jangan sampai kusut, sembahyangnya jangan jarang-jarang, mengajinya sesering mungki","lanjhângnga jhâ' pakorang. bennangngajhâ' pasalbut, bhâjângnga jhâ' rang-rangrang, ngajhina pasegghut "
talinya direntangkan di tengah jala,talèna èlanlan è tengnga jhâlân
kamu kok sangat lancang.,bâ'na ma' cè' lanta'na
kukunya sangat panjang,kokona cè' lanṭègghâ
kukunya dipelihara sampai memanjang,kokona èobu dhâghâ lanṭèk
kukunya yang panjang diberi cat pewarna.,kokona sè lanṭèk èberri' ghiṭèk
"orang kalau sudah tua, kata-katanya melantur tidak karua","orèng mon ella towa, cacana tor-ngalantor ta' karoan"
meski kecil tapi berani.,lapa' kènè' tapè bângal
andaikan belum pulang pasti kebagian kue.,lapa'a ghi' ta' molè mostè mèlo jhâjhân
pencuri yang tertangkap itu dilaporkan ke polisi.,malèng sè èpèghâ' rowa èlaporaghi ḍâ' polisi
kalau selesai kencing cepat disiram agar kamar mandinya tidak berbau pesing,mon marè akemmè dhuli sèram ma'lè jeḍḍingnga ta' abâu lasèng
orang yang berasal dari desa itu saat berbicara sangat jelas dan terang.,orèng ḍâri dhisa rowa bilâ ca'-ngoca' cè' laspadhina
sudah bertandang ke rumah anda.,lastarè mèos ka dhâlem èpon panjhennengngan
"bunga melati, kenanga dan cempaka memenuhi halaman muka rumah.","kembhâng malatè, kananga bân campaka mossa'è palataran"
rumah yang terbakar itu apinya semakin meluas ke rumah yang ada di kanan kirinya,roma sè kobong rowa apoyya alatlat ka roma sè bâḍâ è kangan kacèrra
hendak pergi kemana kamu dik?,èntarra ka kamma bâ'na lè'?
"dik! kamu kok tidak berhenti-henti menangis, nanti akan saya pilin kupingmu.","lè'! bâ'na ma' ta' ḍhik bu-ambu sè nangès, ḍâgghi bi' sèngko' èkopessa kopèngnga"
"sebelum digembala, kambingnya diikat dengan tali dilehernya.","sabellun èowan, embi'na ètalèè lè' èrra"
"kopinya terlalu manis, gulanya terlalu banyak","ghubhina talèbât manès, ghulâna bânnya' ghâllu"
melewati jalan besar,ngalèbâdhi jhâlân rajâ
"awas jatuh dik lewat di tegalan, karena becek semuanya","sènga' labu lè' lèbât è tabwi, polana ledḍuk kakabbhi"
"jauhnya hanya sampai ke Pamekasan, melewati desa Camplong, sangat disayangkan bila bermusuhan karena sudah terlanjur lama berkumpul bersama.","jhâuna ghân Pamekkasân, ngalèbâdhi dhisa campiong, èmanna sè pas arosaghân karè abit sè along-polong "
mangga yang dipetik kemarin itu sekarang menjadi terlalu masak.,"pao sè èpolong bâri' rowa, satèya dhâddhi lebbâs"
"sungguh lebat buahnya juwet, membiru warnanya, ngiler ingin mencicipinya.","lebbhâ' ongghu buwâna dhuwâ', ngobungo bâmana ngalècèr terro ngrassana"
"kalau mau mencari ikan pindang datang saja ke kampung lebak, disana jika pagi hari banyak orang menunggu para nelayan yang baru datang menangkap ikan dari laut.","mon nyarèa jhuko' pènḍâng, èntar bhâi ka kampong lebbhâk, èḍissa mon ghu-lagghu bânnya' orèng aḍântè' rèng majâng sè bhuru ḍâteng amajâng"
kucingnya masuk lewat pintu belakang,kocèngnga lebbhu lèbât labâng buḍi
sapinya dimasukkan ke dalam kandangnya,sapèna epalebbhu ḍâ' kanḍângnga
tercebur ke dalam sumur,talebbhu ka ḍâlem somor
"sebelum hujan, anginnya bertiup kencang tidak tentu arahnya.","sabellunna ojhân, angènna abung-lebbung"
taru kucing banyak mengotori sarungnya.,taèna kocèng abhitlèbhit ka sarongnga
burung manyar kalau membuat sarang sangat bagusnya,mano' bètak mon aghâbây lèbun cè' gântengnga
burung emprit bersarang di atas pohon api-api,mano' keddhi' alèbun è attas bhungkana pè-apè
"sangat menyenangkan tingkah lakunya, manis senyumannya","lèbur ongghu tèngka ghulina, manès pamèsemma"
cincinku yang bermatakan kecubung disenangi oleh tamunya ayah,tang sello' sè amata kecobhung èkalèburi tamoyya rama
orang-orang yang datang dari manca negara sangat tertarik menonton kerapan sapi Madura,rèng-orèng sè ḍâteng ḍâri manca naghârâ lèbur ongghu nèngghu kerrabhân sapè Madhurâ
film di TV tadi malam tidak menarik sama sekali,filem malemma è TV ta' lèbur sama sakalè
orkes dangdut di alun-alun banyak disenangi oleh orang-orang dari desa,orkès ḍangḍut è lon-al on bânnya' èkalèburi rèngorèng ḍâri dhisa
"bila mendengarkan lagu Madura, saya sangat menyenanginya",bilâ ngèḍingaghi laghu Madhurâ sèngko' cè' lèburrâ
"anak-anak laki dan perempuan bersenang-senang di tengah halaman, saat malam dibawah sinar rembulan, bertepuk tangan berteriak-teriak kegirangan, Hore!! inilah lagu kidungannya, lagu kuna tapi sangat menarik!!.","lancèng kana' bân manjhâ pottrè, èn-maènan ghun, è tanèyan, bâjâ malem ètèra'na bulân, pa'-kopa'an aorak kapèraghân, Orè!! rèya' kèjhunganna laghu kona cè' lèburrâ!!"
dikatakan kepada seseorang yang suka membuka aib keluarganya sendiri.,"nglecca' taè è ḍâlem bhâtok "
"jangan lewat disini, karena masih licin","jhâ' lèbât è kanna', polana ghi' lècèn"
berliur ingin merasai.,ngalècèr terro ngrassana
ban sepedanya meletus di tengah jalan,ban sapèḍana aleddhu'è tengnga jhâlân
kamar adikku sangat luas dibandingkan kamarku sendiri.,kamarra tang alè' cè' legghâna ètèmbhâng tang kamar dhibi'
sekarang saya merasa lega mendengar kamu selamat dari tabraka,"satèya sèngko' arassa legghâ, ngèḍ ing bâ'na slamet ḍâri tubru'ân"
"legi, pahing, pon, wage, kliwo","legghi, paèng, pan, bâghi, klèbun"
anak itu kalau tidur melingkar seperti ular.,kana' rowa mon tègung malekker akaḍeng olar
air matanya meleleh banyak di pipinya,aèng matana alèllèan èpèpèna
bayinya terlelap dalam gendongan ibunya.,bhâji'na talellep èembhânan embu'na
perahunya tenggelam di tengah lauta,paraona talellep è tengnga saghârâ
kalau tidak tahu berenang jangan dekat-dekat di sungai nanti bisa tenggelam,"mon ta' tao alanggoy jhâ' ma'-semma' ḍâ' songay, ḍâgghi' bisa talèllep"
kemarin ada orang mati tenggelam di dam.,bâri' bâḍâ orèng matè talèllep è eḍḍam
